altitude,latitude,clutch.size,body.size,clutch.volume,egg.size
"3,462.00",34.82,181.97008586099827,3.630780547701014,177.82794100389228,1.9498445997580451
"3,462.00",34.82,269.1534803926917,3.630780547701014,257.03957827688646,1.9498445997580451
"3,462.00",34.82,158.48931924611142,3.715352290971725,151.35612484362088,1.9498445997580451
"3,462.00",34.82,234.42288153199226,3.8018939632056115,223.872113856834,1.9498445997580451
"3,462.00",34.82,245.4708915685031,3.890451449942806,234.42288153199226,1.9498445997580451
"3,462.00",34.82,301.9951720402016,3.890451449942806,288.40315031266056,1.9498445997580451
"3,462.00",34.82,354.8133892335753,3.890451449942806,338.84415613920237,1.9498445997580451
"3,462.00",34.82,407.3802778041126,3.9810717055349722,389.04514499428046,1.9498445997580451
"3,462.00",34.82,398.1071705534973,3.9810717055349722,380.1893963205613,1.9498445997580451
"2,035.00",33.16,537.0317963702527,4.073802778041127,549.5408738576248,2.041737944669529
"3,098.00",34.77,524.8074602497728,4.073802778041127,741.3102413009177,2.2387211385683394
"3,462.00",34.82,389.04514499428046,4.073802778041127,371.5352290971724,1.9498445997580451
"3,462.00",34.82,588.843655355589,4.073802778041127,562.341325190349,1.9498445997580451
"2,035.00",33.16,467.73514128719813,4.168693834703354,489.77881936844614,2.041737944669529
"3,462.00",34.82,588.843655355589,4.168693834703354,562.341325190349,1.9498445997580451
"3,098.00",34.77,407.3802778041126,4.168693834703354,575.4399373371566,2.2387211385683394
"3,462.00",34.82,363.0780547701014,4.168693834703354,346.73685045253166,1.9498445997580451
"2,035.00",33.16,588.843655355589,4.265795188015927,616.5950018614822,2.041737944669529
"3,462.00",34.82,416.8693834703355,4.265795188015927,398.1071705534973,1.9498445997580451
"3,462.00",34.82,275.4228703338166,4.265795188015927,263.02679918953817,1.9498445997580451
"3,462.00",34.82,588.843655355589,4.36515832240166,562.341325190349,1.9498445997580451
"3,462.00",34.82,338.84415613920237,4.36515832240166,323.5936569296281,1.9498445997580451
"3,462.00",34.82,575.4399373371566,4.36515832240166,549.5408738576248,1.9498445997580451
