group,outcome
I,3.98762437493366
I,-1.23840389041065
I,-0.4846851327303143
I,-0.061685793782329634
I,-0.8992563787563506
I,-0.8641662849192873
I,1.6789626433587008
I,0.3813207940921468
I,0.7857400723462247
I,3.8417207939169438
I,1.092232978416408
I,4.631881307618961
I,3.9789315219072097
I,1.042784443130648
I,3.4008542331377707
I,1.258274399905421
I,-0.7839474517052913
I,0.09576118361708219
I,0.5495199995215185
I,2.038999857172791
II,2.959117666680192
II,2.7575048736023358
II,3.658439208461617
II,-0.3825021976451901
II,3.6088674236269407
II,1.9757812840977365
II,2.8279119708541347
II,2.5871097059381754
II,0.22491323358755366
II,1.2853961945760763
III,-0.0034476133691456745
III,2.3808947501101096
III,1.4688082371377458
III,1.185128768526185
III,0.6720932314707444
III,0.4596401060558426
III,2.7990990876166997
III,-0.3548661677361531
III,1.0893971743218636
III,1.775321277815611
III,3.1306547222447634
III,0.25385330245547033
III,0.874679793190652
III,-0.6645000884303376
III,0.7163102733098541
III,0.7005390008412831
III,3.328605291868172
III,2.1896139611175727
III,1.4536171039265946
III,2.6994369137638863
III,0.9087153976339426
III,1.2913267634147454
III,1.8535584303021932
III,3.863572738190151
III,2.3884393142763107
III,2.0243829935456175
III,-1.0489734458541355
III,1.7802043457049832
III,1.5518160964997672
III,-0.04703252395851587
III,1.4173861312746023
III,1.541561837877833
III,2.1183401975482896
III,2.360039949403312
III,1.7812826343194061
III,2.9667036039403243
III,2.4565602124694097
III,3.0330394326521457
III,3.193854174505148
III,2.3537641803422282
IV,2.143623580670262
IV,0.40161415888882523
IV,0.6528537447822704
IV,0.7938535244315987
IV,0.5146633294402584
IV,0.5263600273859462
IV,1.3740696701452757
IV,0.9415223870564242
IV,1.0763288131411168
IV,2.0949890536646896
IV,1.1784931151645113
IV,2.3583758915653625
IV,2.140725962994779
IV,1.162010270069258
IV,1.9480335334049657
IV,1.233840255660849
IV,0.5530996384572782
IV,0.8463358502314027
IV,0.9975887888662148
IV,1.4940820747499723
V,2.4198751798120357
V,2.3526709154527503
V,2.6529823604058436
V,1.3060018917035747
V,2.6364584321276183
V,2.0920963856178836
V,2.3761399478700165
V,2.2958725262313635
V,1.5084737021144896
V,1.861968022443997
VI,1.0645744887157043
VI,1.8593552765421228
VI,1.5553264388846681
VI,1.460766616014148
VI,1.289754770329001
VI,1.2189370618573672
VI,1.9987567223776526
VI,0.9474349705933686
VI,1.4288560846127074
VI,1.6574974524439567
VI,2.1092752672536736
VI,1.150341460657243
VI,1.3572836242356368
VI,0.8442236636953071
VI,1.304493784275371
VI,1.299236693452514
VI,2.1752587904614766
VI,1.7955950135446104
VI,1.5502627278142844
VI,1.9655359977600484
VI,1.3686288257167338
VI,1.496165947643668
VI,1.6835765032728172
VI,2.3535812725688032
VI,1.8618701312641899
VI,1.7405180243539586
VI,0.7160658778873743
VI,1.659125141740414
VI,1.5829957253386753
VI,1.0500461851859142
VI,1.538185736930287
VI,1.5795776391313638
VI,1.7718370923548492
VI,1.8524036763065235
VI,1.6594845712785549
VI,2.054624894485528
VI,1.884577097328556
VI,2.076736837389468
VI,2.1303417513404685
VI,1.8503117532861622
